cb_person_default_on_file,person_home_ownership,person_income
Y,RENT,44964
N,RENT,52000
Y,MORTGAGE,17352
N,RENT,47000
N,MORTGAGE,17400
N,RENT,49000
N,RENT,60000
N,RENT,60000
N,RENT,60000
N,RENT,60000
N,RENT,62004
N,RENT,62400
N,RENT,65000
Y,MORTGAGE,17760
Y,RENT,59000
N,RENT,66000
N,RENT,60000
N,RENT,66143
Y,RENT,62250
N,RENT,70000
N,RENT,74000
N,OWN,18000
N,RENT,75000
N,RENT,75000
N,RENT,75000
N,RENT,69000
N,RENT,78000
N,OWN,18000
N,RENT,80000
N,OWN,18000
N,OWN,18000
N,RENT,74700
N,RENT,88596
N,RENT,95000
N,RENT,83000
N,RENT,95000
Y,OWN,18000
N,OWN,18000
N,RENT,100000
N,RENT,110000
N,OWN,18000
Y,RENT,98000
N,RENT,103872
N,RENT,120000
N,RENT,120000
N,RENT,108000
Y,RENT,124080
N,MORTGAGE,18000
N,RENT,130000
N,RENT,135000
N,RENT,135000
Y,RENT,114750
N,RENT,150000
Y,RENT,138000
N,OWN,18000
N,OWN,18000
N,RENT,155000
N,RENT,148000
Y,RENT,170000
N,OWN,18000
N,RENT,43896
N,RENT,120000
N,RENT,54996
N,MORTGAGE,18000
N,RENT,102000
N,RENT,75000
N,OWN,18000
Y,OWN,18000
N,MORTGAGE,18000
N,OWN,18000
N,RENT,66960
N,RENT,43385
N,RENT,56544
N,RENT,60000
Y,MORTGAGE,18000
N,RENT,63208
N,RENT,65000
N,RENT,68000
N,OWN,18000
N,RENT,80000
N,RENT,88000
N,RENT,58600
N,RENT,70000
N,OWN,18287
Y,RENT,69846
Y,RENT,73000
N,MORTGAGE,18500
N,RENT,35000
N,RENT,43000
N,RENT,52000
Y,MORTGAGE,18701
N,RENT,57000
N,RENT,58000
N,RENT,60000
Y,RENT,60000
N,MORTGAGE,18840
N,RENT,56000
N,RENT,70000
N,RENT,66000
N,RENT,74064
N,RENT,76597
N,OWN,19000
N,RENT,77000
N,OWN,19000
N,RENT,80000
N,RENT,82600
N,OWN,19000
N,OWN,19000
N,RENT,84000
N,RENT,77650
N,RENT,82000
N,MORTGAGE,19012
N,RENT,99996
N,RENT,110000
N,MORTGAGE,19200
N,RENT,57000
N,RENT,54000
Y,RENT,56000
Y,RENT,63000
Y,RENT,82000
N,RENT,78000
N,OWN,19200
N,RENT,112140
N,MORTGAGE,19200
N,OWN,19200
N,RENT,59000
N,RENT,70000
Y,RENT,116000
N,RENT,60000
N,RENT,31000
N,RENT,47052
N,RENT,51060
Y,MORTGAGE,19200
N,RENT,53000
N,OWN,19200
Y,RENT,56000
Y,RENT,65000
N,RENT,35000
Y,MORTGAGE,19200
N,MORTGAGE,19200
N,RENT,40000
N,OWN,19200
Y,RENT,42000
N,RENT,63000
N,MORTGAGE,19200
N,RENT,59000
Y,RENT,70500
N,RENT,65219
N,RENT,75000
N,MORTGAGE,19200
Y,RENT,62047
N,RENT,79000
N,RENT,80000
N,RENT,84000
N,RENT,85000
N,RENT,93000
Y,RENT,81000
N,RENT,97000
Y,RENT,97000
Y,RENT,100000
Y,OTHER,19200
N,MORTGAGE,19253
N,RENT,125000
Y,RENT,125000
N,RENT,82000
N,MORTGAGE,19500
N,RENT,50000
Y,RENT,70000
N,OWN,19800
N,RENT,80004
N,RENT,54000
N,RENT,26000
N,RENT,33000
N,OWN,20000
N,OWN,20000
N,RENT,35364
N,RENT,38000
N,RENT,32000
N,RENT,38004
N,MORTGAGE,20000
Y,RENT,38556
N,RENT,32900
N,RENT,34000
N,RENT,40000
Y,RENT,36000
N,MORTGAGE,20000
N,RENT,42000
N,RENT,42224
Y,OWN,20000
Y,MORTGAGE,20000
N,RENT,37212
N,RENT,38000
N,RENT,45000
N,RENT,45000
N,RENT,45000
N,OWN,20000
Y,RENT,45000
N,RENT,39000
N,RENT,46500
N,RENT,48000
N,RENT,42000
N,RENT,48500
N,OWN,20000
N,RENT,49400
N,MORTGAGE,20000
N,RENT,50000
N,RENT,50000
N,RENT,50000
N,OWN,20000
N,RENT,44000
N,RENT,50866
N,RENT,50950
N,RENT,51000
N,RENT,51000
N,RENT,51000
N,RENT,51500
N,RENT,51996
N,RENT,52000
Y,RENT,46000
N,MORTGAGE,20000
Y,RENT,52000
Y,RENT,46000
N,RENT,52559
N,RENT,47000
N,RENT,54000
N,RENT,48000
N,RENT,48000
N,RENT,54000
N,RENT,48912
N,RENT,54996
N,RENT,55000
N,RENT,55000
N,RENT,49000
N,RENT,55000
N,MORTGAGE,20000
N,RENT,55000
N,RENT,55200
N,MORTGAGE,20004
N,RENT,57000
Y,RENT,51012
Y,MORTGAGE,20004
N,MORTGAGE,20004
N,RENT,58000
N,RENT,58800
N,RENT,59000
Y,RENT,53000
N,RENT,60000
N,RENT,54000
N,OWN,20245
N,MORTGAGE,20280
N,RENT,60000
N,OWN,20352
N,RENT,54000
N,RENT,60000
Y,RENT,54000
N,RENT,54000
N,RENT,60000
N,RENT,60000
Y,MORTGAGE,20400
N,MORTGAGE,20400
N,RENT,60000
Y,RENT,54000
Y,RENT,54000
N,RENT,60000
Y,OWN,20400
N,RENT,54000
N,RENT,60000
N,OWN,20400
N,RENT,60000
N,RENT,60000
Y,RENT,54504
N,RENT,55000
N,RENT,61000
Y,OWN,20400
N,RENT,62000
Y,RENT,56000
Y,RENT,56000
N,RENT,62400
N,RENT,62400
N,RENT,63000
N,RENT,58000
N,RENT,65000
Y,OWN,20800
N,RENT,65000
N,RENT,65000
N,OWN,20856
Y,OWN,20868
N,RENT,59000
N,RENT,59000
Y,MORTGAGE,21000
N,RENT,65004
Y,RENT,59004
N,RENT,59004
N,RENT,65500
N,RENT,66996
N,RENT,67000
Y,RENT,67000
N,RENT,68000
Y,RENT,68000
N,RENT,62400
Y,RENT,69500
N,RENT,70000
N,RENT,70000
N,RENT,64000
N,RENT,71004
N,MORTGAGE,21000
N,RENT,71004
Y,RENT,55392
N,RENT,72000
N,OTHER,21000
N,RENT,66000
N,RENT,66000
Y,RENT,72000
N,RENT,74000
Y,MORTGAGE,21120
N,RENT,75000
Y,MORTGAGE,21216
N,MORTGAGE,21221
N,RENT,75000
N,RENT,75000
N,RENT,75000
N,RENT,75000
N,RENT,69000
N,RENT,75000
N,MORTGAGE,21600
N,OWN,21600
N,RENT,69000
Y,RENT,75600
N,RENT,59497
N,RENT,76000
N,RENT,70000
N,RENT,70000
N,RENT,77004
Y,RENT,71004
N,OWN,21600
N,MORTGAGE,21600
N,MORTGAGE,21600
Y,RENT,78000
N,MORTGAGE,21600
N,OWN,21600
N,MORTGAGE,21600
N,RENT,78000
N,RENT,61200
N,MORTGAGE,21600
Y,RENT,72000
N,RENT,78000
Y,RENT,78500
Y,RENT,79000
N,RENT,80000
N,OWN,21600
N,RENT,62900
N,RENT,80000
N,RENT,80000
N,MORTGAGE,21600
Y,RENT,80000
N,OWN,21600
N,RENT,62900
N,MORTGAGE,21600
Y,RENT,74004
Y,RENT,80004
N,RENT,80700
N,RENT,81000
N,MORTGAGE,21600
Y,RENT,82000
Y,RENT,76042
Y,RENT,76654
N,RENT,83500
N,OWN,21600
N,RENT,84000
N,RENT,84000
N,OWN,21600
N,MORTGAGE,21600
N,RENT,78996
N,RENT,85000
N,RENT,85000
N,RENT,73000
N,MORTGAGE,21816
N,OWN,21840
N,RENT,85000
N,MORTGAGE,21948
N,RENT,87000
N,OWN,21996
N,RENT,90000
Y,RENT,78000
N,RENT,90000
N,RENT,90000
N,RENT,90000
N,MORTGAGE,22000
N,RENT,90000
N,RENT,91229
N,MORTGAGE,22000
Y,RENT,92000
N,MORTGAGE,22000
N,MORTGAGE,22000
N,RENT,92407
N,MORTGAGE,22000
N,MORTGAGE,22000
N,RENT,93492
N,MORTGAGE,22000
N,RENT,94500
N,RENT,83000
N,RENT,95000
Y,RENT,95000
N,OWN,22000
N,RENT,96000
N,MORTGAGE,22000
Y,RENT,85200
N,RENT,98000
Y,OWN,22000
N,RENT,99000
N,OWN,22000
N,OWN,22000
Y,RENT,99996
N,RENT,87996
N,OWN,22000
N,RENT,100000
Y,RENT,100000
Y,OWN,22000
N,MORTGAGE,22080
Y,RENT,74800
Y,RENT,74800
N,RENT,100000
N,MORTGAGE,22260
N,OWN,22296
N,RENT,104000
N,RENT,93000
Y,RENT,95000
N,RENT,108000
N,RENT,96901
N,RENT,110000
N,RENT,110000
N,RENT,110000
N,RENT,110000
N,RENT,110000
N,MORTGAGE,22800
N,MORTGAGE,22800
N,MORTGAGE,22800
N,RENT,85000
N,MORTGAGE,22800
Y,MORTGAGE,22800
N,RENT,120000
N,OWN,22800
N,RENT,121000
N,RENT,125000
N,MORTGAGE,22800
N,RENT,130000
Y,RENT,130000
N,MORTGAGE,22884
Y,RENT,133000
N,MORTGAGE,23000
N,MORTGAGE,23000
N,RENT,140000
Y,RENT,138000
Y,MORTGAGE,23000
N,RENT,148000
N,RENT,160000
N,MORTGAGE,23000
N,RENT,160000
N,RENT,168000
N,RENT,172500
N,MORTGAGE,23000
Y,RENT,175000
N,MORTGAGE,23000
N,RENT,58000
N,RENT,116000
N,RENT,19500
Y,MORTGAGE,23000
N,RENT,19000
Y,MORTGAGE,23000
Y,RENT,19000
N,RENT,10000
N,RENT,10000
N,RENT,10140
N,MORTGAGE,23000
N,OTHER,23000
N,RENT,10500
N,RENT,11220
N,RENT,11760
N,RENT,11820
N,RENT,12000
N,RENT,12000
N,RENT,12000
Y,RENT,12240
N,RENT,13728
N,RENT,14400
N,OWN,23040
N,OWN,23040
Y,RENT,14400
N,OWN,23040
Y,RENT,15000
Y,RENT,16000
N,RENT,16800
Y,RENT,16800
N,RENT,19200
N,RENT,39600
N,RENT,39900
N,RENT,47000
N,RENT,50000
N,RENT,52000
N,MORTGAGE,23500
Y,RENT,47500
Y,RENT,54000
N,RENT,54000
N,RENT,54586
N,RENT,62004
N,RENT,70000
N,RENT,72000
N,RENT,73000
N,RENT,78000
Y,MORTGAGE,23920
N,OWN,23964
Y,RENT,96000
Y,RENT,105000
N,RENT,175000
N,RENT,50000
N,RENT,55000
N,RENT,70000
N,RENT,36500
N,RENT,43000
N,OWN,24000
N,RENT,34300
N,RENT,36000
N,RENT,38000
N,RENT,55784
N,RENT,74196
N,RENT,75000
N,RENT,73000
N,OWN,24000
N,MORTGAGE,24000
N,RENT,78000
Y,RENT,145000
N,MORTGAGE,24000
N,RENT,48888
N,RENT,50000
N,RENT,120000
N,MORTGAGE,24000
Y,MORTGAGE,24000
N,RENT,34000
N,RENT,35004
N,RENT,34500
N,RENT,42504
N,MORTGAGE,24000
Y,RENT,36996
N,RENT,45600
N,MORTGAGE,24000
N,RENT,46000
N,RENT,46000
N,RENT,55044
N,RENT,49200
Y,RENT,50000
N,RENT,50000
N,RENT,44000
N,RENT,36000
N,RENT,36400
N,RENT,36000
N,RENT,55000
Y,RENT,27000
N,OWN,24000
N,RENT,33000
N,RENT,36000
Y,RENT,30720
N,RENT,39996
Y,RENT,40000
N,MORTGAGE,24000
N,RENT,42000
N,MORTGAGE,24000
N,OWN,24000
Y,RENT,42765
N,RENT,43000
Y,RENT,44000
N,RENT,44000
N,RENT,39000
Y,RENT,46800
N,RENT,48000
Y,RENT,42000
N,OWN,24000
Y,RENT,43400
N,RENT,50000
N,RENT,50000
Y,MORTGAGE,24000
N,OWN,24000
N,RENT,50000
N,RENT,50000
N,OWN,24000
N,RENT,52000
Y,OWN,24000
N,RENT,52000
Y,RENT,52000
N,RENT,52526
N,RENT,46610
N,RENT,48000
N,OWN,24000
N,RENT,55000
N,RENT,55344
N,MORTGAGE,24000
N,RENT,56000
N,RENT,50000
N,RENT,58000
N,RENT,52240
Y,RENT,53000
N,RENT,60000
N,RENT,60000
Y,RENT,61500
N,MORTGAGE,24000
Y,RENT,62000
N,MORTGAGE,24000
N,OWN,24000
N,RENT,63000
N,RENT,63000
Y,RENT,63000
N,RENT,65000
N,RENT,65000
Y,RENT,59000
N,RENT,65000
N,RENT,59000
Y,RENT,60000
N,RENT,66000
N,RENT,68000
N,RENT,70000
Y,RENT,54400
N,RENT,70200
N,RENT,65000
N,RENT,71820
Y,RENT,66000
N,RENT,72000
N,OWN,24000
N,RENT,73500
Y,MORTGAGE,24000
Y,RENT,75000
Y,MORTGAGE,24000
N,RENT,75576
N,OWN,24000
N,RENT,78000
N,RENT,80000
N,RENT,80000
N,RENT,80000
N,RENT,80171
N,RENT,81000
N,MORTGAGE,24000
N,RENT,82000
N,RENT,76500
N,MORTGAGE,24000
N,MORTGAGE,24000
N,RENT,82570
N,MORTGAGE,24000
N,RENT,84000
N,MORTGAGE,24000
N,RENT,85000
N,RENT,86000
N,RENT,87000
N,RENT,88000
N,RENT,90000
N,RENT,95000
N,RENT,95000
Y,RENT,102000
N,RENT,110000
N,RENT,87550
N,RENT,116004
N,RENT,121000
Y,RENT,125000
N,OWN,24000
N,RENT,144500
N,RENT,155000
N,OWN,24000
N,RENT,75000
N,RENT,130000
N,OWN,24000
Y,RENT,62050
N,OWN,24000
N,RENT,48000
N,RENT,65000
N,MORTGAGE,24000
Y,MORTGAGE,24000
N,MORTGAGE,24000
N,RENT,45000
N,RENT,59256
N,RENT,65500
N,RENT,70000
N,RENT,71480
N,MORTGAGE,24000
Y,MORTGAGE,24091
Y,RENT,72250
Y,RENT,32400
N,RENT,36000
N,RENT,37232
N,OWN,24300
N,MORTGAGE,24396
N,RENT,40800
N,OWN,24449
N,OWN,24468
N,RENT,44000
N,RENT,47500
N,RENT,49176
N,RENT,49270
N,RENT,53352
N,RENT,54996
Y,RENT,58000
N,RENT,59000
N,RENT,60000
N,RENT,75000
N,MORTGAGE,24900
N,RENT,95950
Y,MORTGAGE,24960
N,RENT,40000
N,RENT,45408
N,MORTGAGE,24996
N,RENT,58000
N,RENT,82000
N,RENT,96000
N,RENT,133000
N,RENT,95000
N,RENT,35000
Y,RENT,29400
N,OWN,24996
N,RENT,40000
N,RENT,41400
N,RENT,42000
N,RENT,43275
N,RENT,45792
N,RENT,47000
N,RENT,49896
N,RENT,50000
Y,OWN,24996
N,OWN,24996
N,RENT,51000
Y,RENT,45000
Y,RENT,52000
Y,OWN,24996
N,RENT,52000
N,RENT,52500
N,RENT,54660
N,OWN,25000
N,RENT,55782
N,RENT,53000
Y,OWN,25000
N,RENT,60000
N,RENT,60000
Y,OWN,25000
N,RENT,62000
N,RENT,65000
N,RENT,70000
N,RENT,72000
N,RENT,75000
N,RENT,75000
N,RENT,78000
N,MORTGAGE,25000
Y,RENT,85500
N,RENT,89004
Y,RENT,66300
N,RENT,90000
N,RENT,95000
N,RENT,96000
N,RENT,114000
N,RENT,175000
Y,RENT,49000
N,RENT,72000
N,MORTGAGE,25000
N,OWN,25000
N,RENT,34819
N,RENT,50000
N,MORTGAGE,25000
N,RENT,55000
Y,RENT,60000
N,RENT,60000
Y,RENT,60000
Y,RENT,54000
N,MORTGAGE,25000
Y,RENT,66000
N,RENT,58650
Y,RENT,74000
N,RENT,97000
N,RENT,97000
N,RENT,103000
N,RENT,125000
N,OWN,25000
Y,RENT,36000
N,RENT,44500
N,RENT,45000
N,RENT,46272
N,MORTGAGE,25000
N,RENT,42000
Y,RENT,50496
N,RENT,54000
Y,RENT,54000
N,RENT,54996
N,RENT,59160
Y,RENT,70000
Y,RENT,98400
N,RENT,40428
N,RENT,47000
N,RENT,47000
N,RENT,48000
N,OWN,25000
Y,RENT,56000
N,RENT,57504
N,MORTGAGE,25000
N,OWN,25000
N,OWN,25000
N,RENT,83300
Y,RENT,45000
N,RENT,61000
N,RENT,27600
N,RENT,47000
N,MORTGAGE,25000
N,RENT,54000
Y,RENT,39000
N,RENT,30000
N,RENT,33000
N,RENT,35000
N,MORTGAGE,25000
N,RENT,35000
N,RENT,35500
N,MORTGAGE,25000
Y,MORTGAGE,25000
N,RENT,36900
Y,RENT,38000
Y,RENT,39000
N,RENT,39996
N,OWN,25000
N,OWN,25000
N,RENT,40000
Y,RENT,40000
N,RENT,40000
N,RENT,40000
N,RENT,34000
Y,RENT,41900
N,RENT,42494
N,MORTGAGE,25000
N,OWN,25000
N,RENT,42856
N,RENT,43000
N,OWN,25000
N,MORTGAGE,25000
N,RENT,44000
N,RENT,44000
N,MORTGAGE,25000
N,MORTGAGE,25000
Y,RENT,38400
N,MORTGAGE,25000
Y,RENT,39000
N,RENT,45000
N,OWN,25000
N,RENT,39000
N,MORTGAGE,25040
Y,OWN,25062
Y,OWN,25100
N,OWN,25104
N,RENT,39000
Y,RENT,39000
N,MORTGAGE,25200
N,RENT,48000
N,RENT,42000
N,RENT,50000
Y,OWN,25200
N,MORTGAGE,25200
Y,RENT,50000
Y,OWN,25200
N,RENT,50000
N,RENT,44000
N,RENT,51000
Y,RENT,45000
N,RENT,52000
N,RENT,53000
N,RENT,54000
N,MORTGAGE,25200
N,RENT,49000
Y,RENT,55000
N,RENT,55000
Y,MORTGAGE,25200
N,MORTGAGE,25200
N,RENT,58000
N,RENT,52000
N,OWN,25200
N,MORTGAGE,25200
N,RENT,52500
N,RENT,60000
N,RENT,54000
N,RENT,54000
N,MORTGAGE,25344
Y,RENT,61000
N,RENT,62000
N,MORTGAGE,25480
N,MORTGAGE,25500
N,MORTGAGE,25500
N,RENT,57175
N,MORTGAGE,25500
N,RENT,57336
Y,MORTGAGE,25568
N,RENT,64000
N,RENT,58575
N,RENT,64800
N,RENT,65000
N,MORTGAGE,25632
N,RENT,65000
N,OWN,25788
N,RENT,65000
N,RENT,59000
N,RENT,65000
N,MORTGAGE,25920
Y,RENT,65000
N,RENT,59000
N,RENT,66000
N,OTHER,25992
N,RENT,60996
N,RENT,62500
N,RENT,63000
N,MORTGAGE,26000
Y,RENT,64000
Y,RENT,72000
Y,RENT,74000
N,RENT,74337
Y,RENT,74999
N,MORTGAGE,26000
N,MORTGAGE,26000
N,RENT,75000
N,MORTGAGE,26000
Y,RENT,75000
N,MORTGAGE,26000
N,RENT,69000
Y,RENT,20000
N,OWN,26000
N,OWN,26000
N,MORTGAGE,26000
N,OWN,26000
N,RENT,23712
N,RENT,24000
Y,MORTGAGE,26000
N,RENT,24000
Y,RENT,24000
N,RENT,24960
Y,RENT,25000
N,RENT,25000
N,OWN,26000
Y,MORTGAGE,26000
N,MORTGAGE,26000
Y,RENT,28000
N,RENT,28000
N,MORTGAGE,26000
N,RENT,28000
N,RENT,28000
N,RENT,28600
N,RENT,29000
Y,MORTGAGE,26000
N,RENT,29000
N,RENT,30000
N,RENT,30000
N,RENT,30000
Y,MORTGAGE,26000
N,RENT,30000
N,MORTGAGE,26000
N,RENT,30000
N,MORTGAGE,26004
N,MORTGAGE,26004
Y,RENT,30035
N,MORTGAGE,26004
N,MORTGAGE,26004
N,RENT,33000
N,RENT,33388
N,MORTGAGE,26004
N,OWN,26004
N,MORTGAGE,26004
N,RENT,33600
N,RENT,33600
N,RENT,34000
N,RENT,34800
Y,RENT,34800
Y,RENT,35000
N,RENT,35000
N,RENT,29000
Y,RENT,35100
N,RENT,35100
N,MORTGAGE,26400
N,RENT,36000
N,RENT,36000
N,RENT,36000
N,MORTGAGE,26400
N,RENT,36000
Y,RENT,31000
N,RENT,32000
Y,RENT,38000
N,RENT,32000
N,RENT,38400
N,MORTGAGE,26400
Y,RENT,38400
Y,RENT,33600
N,RENT,39996
N,RENT,40000
N,RENT,40000
N,RENT,40000
N,MORTGAGE,26400
Y,MORTGAGE,26400
