person_home_ownership,person_income,loan_int_rate
MORTGAGE,210000,10.62
OWN,210000,11.83
RENT,48000,18.43
RENT,54996,
RENT,55000,
RENT,55000,11.36
RENT,55000,15.65
RENT,55164,13.22
RENT,56000,12.87
OWN,203500,13.04
MORTGAGE,190000,17.58
OWN,13920,17.04
RENT,60000,10.99
RENT,60000,11.11
RENT,54000,14.83
OWN,14000,
RENT,200000,12.69
MORTGAGE,200000,13.49
MORTGAGE,200000,14.65
RENT,54000,16.82
RENT,60000,12.73
RENT,60000,10.25
RENT,60000,10.99
RENT,61959,12.73
RENT,56400,14.96
MORTGAGE,200000,
MORTGAGE,200000,13.99
MORTGAGE,200000,7.49
MORTGAGE,200000,14.79
MORTGAGE,200000,11.99
RENT,200000,8.49
RENT,66000,9.91
RENT,66000,13.06
MORTGAGE,200000,6.17
MORTGAGE,200000,11.86
RENT,200000,16.32
MORTGAGE,200000,10.38
MORTGAGE,200000,14.35
MORTGAGE,200000,
RENT,60000,
OWN,14400,
RENT,66996,15.21
RENT,67000,7.9
RENT,67000,10.99
RENT,68000,14.09
RENT,69000,17.49
MORTGAGE,200000,11.48
MORTGAGE,188000,17.74
MORTGAGE,200000,13.92
RENT,69996,15.21
OWN,14400,10.99
RENT,70000,11.86
OWN,14400,7.49
RENT,56100,16.49
RENT,66000,15.33
RENT,66000,11.58
OWN,14400,5.79
RENT,72612,13.11
RENT,74000,10.36
RENT,75000,10.36
RENT,192000,
MORTGAGE,192000,6.54
MORTGAGE,191000,12.53
MORTGAGE,190300,
MORTGAGE,190000,
RENT,75000,10.25
RENT,71000,15.95
MORTGAGE,190000,12.18
OWN,189996,11.83
RENT,78000,
RENT,78000,10.62
RENT,78504,10.74
OWN,186000,10.25
MORTGAGE,185000,12.42
RENT,185000,15.27
RENT,62050,15.33
RENT,79416,15.21
OWN,14400,14.72
RENT,79631,15.7
RENT,79632,13.35
MORTGAGE,14400,
RENT,80000,6.62
RENT,80000,13.61
RENT,185000,11.36
OWN,185000,7.68
RENT,184992,14.46
OWN,184000,11.83
MORTGAGE,172000,13.47
MORTGAGE,183000,11.49
MORTGAGE,183000,
MORTGAGE,182952,6.03
RENT,74004,16.35
RENT,74004,
RENT,81000,7.29
RENT,81600,11.36
RENT,82000,10.25
RENT,83000,11.12
RENT,83000,12.92
RENT,180000,18.64
MORTGAGE,180000,7.51
OWN,14400,16.7
OWN,14400,11.14
RENT,84500,18.3
RENT,85000,10.62
MORTGAGE,180000,11.99
MORTGAGE,180000,9.63
MORTGAGE,142800,18.25
MORTGAGE,14664,
RENT,87000,14.84
RENT,75000,14.7
RENT,76000,16.02
RENT,66215,15.37
RENT,90000,10.99
OWN,15000,7.9
OWN,180000,10.99
OWN,180000,11.48
OWN,180000,14.26
OWN,180000,8.0
MORTGAGE,180000,11.26
OWN,15000,
RENT,78000,16.32
RENT,66300,17.93
RENT,90000,11.36
RENT,79000,14.96
RENT,91800,13.43
RENT,92000,12.69
RENT,92000,12.73
RENT,93600,15.21
MORTGAGE,15000,12.68
RENT,70550,19.04
RENT,83800,15.95
MORTGAGE,175000,8.9
MORTGAGE,175000,7.9
MORTGAGE,175000,
MORTGAGE,175000,11.99
OWN,15000,13.98
OWN,15000,10.99
RENT,88000,15.58
RENT,74800,10.99
RENT,88000,14.96
OWN,15000,15.31
RENT,88000,15.65
RENT,100000,9.33
MORTGAGE,15000,13.47
RENT,102400,10.36
RENT,92000,16.77
RENT,93000,14.59
RENT,175000,11.91
MORTGAGE,175000,8.38
RENT,174708,10.59
MORTGAGE,174000,14.27
RENT,174000,12.53
MORTGAGE,162000,16.0
MORTGAGE,173467,11.71
OWN,15000,11.54
RENT,96000,15.68
MORTGAGE,15120,10.59
RENT,97908,12.61
RENT,110000,
MORTGAGE,15204,8.49
RENT,159600,17.27
RENT,171500,8.9
MORTGAGE,170004,11.11
RENT,158004,14.59
RENT,170000,12.42
RENT,83300,
RENT,110000,15.7
OWN,15360,12.53
RENT,134300,16.49
MORTGAGE,170000,7.49
RENT,100580,14.96
RENT,113000,12.73
RENT,120000,10.65
RENT,120000,10.74
RENT,120000,9.99
RENT,91800,15.33
OWN,15600,7.29
RENT,108000,15.05
RENT,129996,10.75
RENT,130000,16.02
RENT,130000,11.49
OWN,170000,12.53
MORTGAGE,170000,13.57
RENT,169000,11.14
RENT,168750,12.87
RENT,168600,11.58
RENT,168288,11.12
MORTGAGE,168000,10.65
RENT,133300,10.37
OWN,15600,6.39
RENT,134000,16.07
RENT,134000,10.62
OWN,15600,18.09
RENT,135000,11.36
RENT,135660,12.53
RENT,145000,9.99
RENT,150000,10.36
MORTGAGE,165000,5.99
MORTGAGE,153000,15.62
MORTGAGE,165000,10.37
MORTGAGE,165000,19.74
MORTGAGE,165000,6.91
OWN,16000,7.9
MORTGAGE,16000,13.06
OWN,16000,6.39
RENT,148000,14.93
MORTGAGE,16000,12.84
OWN,16020,17.14
MORTGAGE,16094,7.14
RENT,175000,8.9
OWN,16200,12.42
RENT,185000,12.68
RENT,162000,11.03
RENT,161000,7.9
MORTGAGE,160000,10.65
RENT,225000,11.86
OWN,16400,8.94
OWN,16500,9.63
RENT,49500,14.22
RENT,60000,9.33
RENT,84200,13.85
MORTGAGE,16800,10.65
RENT,92000,11.46
MORTGAGE,160000,7.66
MORTGAGE,160000,16.77
MORTGAGE,160000,9.63
RENT,160000,12.23
MORTGAGE,125800,14.09
RENT,54000,13.98
RENT,62500,10.62
MORTGAGE,16800,
RENT,68400,17.56
RENT,56045,14.96
RENT,74000,15.65
RENT,65453,15.7
RENT,89908,12.53
RENT,78000,17.56
RENT,100000,12.87
RENT,103000,15.7
MORTGAGE,160000,
OWN,160000,11.14
MORTGAGE,160000,16.0
MORTGAGE,160000,15.65
MORTGAGE,160000,
MORTGAGE,160000,15.31
MORTGAGE,160000,13.47
MORTGAGE,16800,13.85
RENT,111996,
MORTGAGE,16800,10.39
RENT,115200,11.36
RENT,144000,11.83
RENT,287000,12.53
RENT,108000,14.96
RENT,43000,13.85
RENT,47004,11.58
RENT,48000,16.29
RENT,48000,
RENT,44964,16.29
RENT,52000,10.74
MORTGAGE,17352,15.27
RENT,47000,17.8
MORTGAGE,17400,11.36
RENT,49000,17.56
RENT,60000,7.9
RENT,60000,10.99
RENT,60000,7.29
RENT,60000,10.75
RENT,62004,7.9
RENT,62400,14.84
RENT,65000,
MORTGAGE,17760,
RENT,59000,19.69
RENT,66000,
RENT,60000,14.96
RENT,66143,6.99
RENT,62250,16.45
RENT,70000,10.99
RENT,74000,10.99
OWN,18000,7.9
RENT,75000,12.69
RENT,75000,10.37
RENT,75000,
RENT,69000,15.83
RENT,78000,13.92
OWN,18000,11.49
RENT,80000,10.25
OWN,18000,7.49
OWN,18000,5.99
RENT,74700,12.92
RENT,88596,11.58
RENT,95000,8.9
RENT,83000,19.69
RENT,95000,6.54
OWN,18000,14.54
OWN,18000,11.11
RENT,100000,12.73
RENT,110000,15.62
OWN,18000,6.54
RENT,98000,
RENT,103872,20.03
RENT,120000,9.91
RENT,120000,12.69
RENT,108000,20.16
RENT,124080,16.49
MORTGAGE,18000,15.95
RENT,130000,11.49
RENT,135000,10.99
RENT,135000,13.79
RENT,114750,20.03
RENT,150000,7.49
RENT,138000,16.0
OWN,18000,7.88
OWN,18000,10.62
RENT,155000,10.99
RENT,148000,18.3
RENT,170000,
OWN,18000,11.36
RENT,43896,
RENT,120000,13.47
RENT,54996,11.89
MORTGAGE,18000,12.18
RENT,102000,13.49
RENT,75000,14.5
OWN,18000,
OWN,18000,15.31
MORTGAGE,18000,
OWN,18000,
RENT,66960,7.49
RENT,43385,
RENT,56544,
RENT,60000,12.18
MORTGAGE,18000,11.34
RENT,63208,9.91
RENT,65000,11.99
RENT,68000,9.62
OWN,18000,9.96
RENT,80000,
RENT,88000,14.54
RENT,58600,11.36
RENT,70000,14.27
OWN,18287,11.99
RENT,69846,18.99
RENT,73000,16.7
MORTGAGE,18500,9.32
RENT,35000,12.69
RENT,43000,13.11
RENT,52000,10.74
MORTGAGE,18701,14.11
RENT,57000,9.63
RENT,58000,14.65
RENT,60000,10.25
RENT,60000,14.26
MORTGAGE,18840,9.91
RENT,56000,17.19
RENT,70000,11.36
RENT,66000,
RENT,74064,10.59
RENT,76597,9.25
OWN,19000,8.49
RENT,77000,6.54
OWN,19000,8.49
RENT,80000,
RENT,82600,12.69
OWN,19000,13.85
OWN,19000,7.4
RENT,84000,11.71
RENT,77650,11.48
RENT,82000,17.51
MORTGAGE,19012,14.61
RENT,99996,7.88
RENT,110000,
MORTGAGE,19200,11.71
RENT,57000,11.99
RENT,54000,13.49
RENT,56000,21.21
RENT,63000,14.35
RENT,82000,13.61
RENT,78000,11.26
OWN,19200,10.59
RENT,112140,7.9
MORTGAGE,19200,5.99
OWN,19200,11.99
RENT,59000,16.89
RENT,70000,9.99
RENT,116000,15.33
RENT,60000,7.29
RENT,31000,12.42
RENT,47052,10.99
RENT,51060,6.91
MORTGAGE,19200,14.17
RENT,53000,10.25
OWN,19200,
RENT,56000,15.95
RENT,65000,15.95
RENT,35000,12.53
MORTGAGE,19200,14.91
MORTGAGE,19200,
RENT,40000,6.54
OWN,19200,
RENT,42000,17.26
RENT,63000,11.36
MORTGAGE,19200,7.51
RENT,59000,10.71
RENT,70500,13.98
RENT,65219,14.09
RENT,75000,10.0
MORTGAGE,19200,15.33
RENT,62047,16.32
RENT,79000,7.9
RENT,80000,11.99
RENT,84000,10.75
RENT,85000,13.92
RENT,93000,9.91
RENT,81000,16.95
RENT,97000,7.9
RENT,97000,
RENT,100000,16.49
OTHER,19200,11.97
MORTGAGE,19253,6.17
RENT,125000,8.9
RENT,125000,12.99
RENT,82000,12.69
MORTGAGE,19500,9.64
RENT,50000,7.49
RENT,70000,13.16
OWN,19800,8.38
RENT,80004,10.25
RENT,54000,7.49
RENT,26000,9.76
RENT,33000,10.99
OWN,20000,11.71
OWN,20000,10.65
RENT,35364,12.53
RENT,38000,14.59
RENT,32000,12.61
RENT,38004,13.11
MORTGAGE,20000,10.65
RENT,38556,11.22
RENT,32900,16.0
RENT,34000,8.88
RENT,40000,12.53
RENT,36000,
MORTGAGE,20000,5.99
RENT,42000,13.47
RENT,42224,6.99
OWN,20000,15.99
MORTGAGE,20000,
RENT,37212,16.69
RENT,38000,11.11
RENT,45000,7.9
RENT,45000,10.25
RENT,45000,
OWN,20000,7.49
RENT,45000,13.92
RENT,39000,14.74
RENT,46500,10.62
RENT,48000,10.65
RENT,42000,12.99
RENT,48500,11.36
OWN,20000,5.79
RENT,49400,6.54
MORTGAGE,20000,5.79
RENT,50000,7.49
RENT,50000,13.43
RENT,50000,13.22
OWN,20000,14.72
RENT,44000,15.68
RENT,50866,
RENT,50950,11.48
RENT,51000,10.38
RENT,51000,12.53
RENT,51000,13.47
RENT,51500,12.21
RENT,51996,10.99
RENT,52000,11.36
RENT,46000,16.0
MORTGAGE,20000,7.74
RENT,52000,15.65
RENT,46000,11.78
RENT,52559,
RENT,47000,16.77
RENT,54000,9.91
RENT,48000,15.65
RENT,48000,14.96
RENT,54000,11.83
RENT,48912,11.66
RENT,54996,12.18
RENT,55000,6.91
RENT,55000,6.91
RENT,49000,19.79
RENT,55000,9.88
MORTGAGE,20000,9.76
RENT,55000,12.53
RENT,55200,
MORTGAGE,20004,6.99
RENT,57000,16.89
RENT,51012,17.49
MORTGAGE,20004,16.82
MORTGAGE,20004,
RENT,58000,13.11
RENT,58800,7.66
RENT,59000,6.17
RENT,53000,16.35
RENT,60000,7.9
RENT,54000,16.49
OWN,20245,
MORTGAGE,20280,8.0
RENT,60000,10.99
OWN,20352,6.91
RENT,54000,8.88
RENT,60000,
RENT,54000,14.84
RENT,54000,11.12
RENT,60000,7.88
RENT,60000,
MORTGAGE,20400,15.99
MORTGAGE,20400,10.99
RENT,60000,
RENT,54000,15.65
RENT,54000,17.04
RENT,60000,12.21
OWN,20400,15.23
RENT,54000,14.11
RENT,60000,11.14
OWN,20400,11.49
RENT,60000,13.87
RENT,60000,10.08
RENT,54504,16.7
RENT,55000,18.64
RENT,61000,12.18
OWN,20400,
RENT,62000,6.54
RENT,56000,14.61
RENT,56000,17.39
RENT,62400,11.12
RENT,62400,11.48
RENT,63000,12.42
RENT,58000,10.25
RENT,65000,10.65
OWN,20800,16.29
RENT,65000,10.37
RENT,65000,11.49
OWN,20856,10.59
OWN,20868,13.49
RENT,59000,
RENT,59000,12.29
MORTGAGE,21000,17.27
RENT,65004,11.99
RENT,59004,14.84
RENT,59004,10.83
RENT,65500,13.22
RENT,66996,12.18
RENT,67000,11.11
RENT,67000,13.48
RENT,68000,10.75
RENT,68000,12.53
RENT,62400,14.84
RENT,69500,17.74
RENT,70000,9.99
RENT,70000,6.91
RENT,64000,
RENT,71004,14.09
MORTGAGE,21000,11.49
RENT,71004,14.09
RENT,55392,15.2
RENT,72000,11.83
OTHER,21000,12.21
RENT,66000,14.11
RENT,66000,14.42
RENT,72000,14.74
RENT,74000,12.69
MORTGAGE,21120,16.89
RENT,75000,
MORTGAGE,21216,
MORTGAGE,21221,9.63
RENT,75000,8.88
RENT,75000,6.91
RENT,75000,
RENT,75000,10.38
RENT,69000,10.99
RENT,75000,
MORTGAGE,21600,
OWN,21600,12.42
RENT,69000,14.82
RENT,75600,16.32
RENT,59497,16.0
RENT,76000,10.37
RENT,70000,13.16
RENT,70000,14.88
RENT,77004,13.98
RENT,71004,13.36
OWN,21600,6.99
MORTGAGE,21600,5.42
MORTGAGE,21600,5.42
RENT,78000,13.85
MORTGAGE,21600,12.99
OWN,21600,9.99
MORTGAGE,21600,
RENT,78000,
RENT,61200,11.14
MORTGAGE,21600,5.99
RENT,72000,
RENT,78000,11.58
RENT,78500,13.85
RENT,79000,16.89
RENT,80000,7.9
OWN,21600,12.68
RENT,62900,14.91
RENT,80000,13.06
RENT,80000,8.88
MORTGAGE,21600,6.17
RENT,80000,13.98
OWN,21600,6.54
RENT,62900,13.85
MORTGAGE,21600,10.36
RENT,74004,15.95
RENT,80004,14.26
RENT,80700,11.71
RENT,81000,13.49
MORTGAGE,21600,14.84
RENT,82000,
RENT,76042,15.05
RENT,76654,13.79
RENT,83500,13.48
OWN,21600,6.76
RENT,84000,11.11
RENT,84000,13.92
OWN,21600,12.53
MORTGAGE,21600,11.14
RENT,78996,14.11
RENT,85000,7.49
RENT,85000,10.25
RENT,73000,12.53
MORTGAGE,21816,11.86
OWN,21840,7.88
RENT,85000,
MORTGAGE,21948,
RENT,87000,13.85
OWN,21996,13.23
RENT,90000,
RENT,78000,18.25
RENT,90000,6.54
RENT,90000,11.49
RENT,90000,11.49
MORTGAGE,22000,11.71
RENT,90000,13.57
RENT,91229,14.35
MORTGAGE,22000,10.65
RENT,92000,15.65
MORTGAGE,22000,
MORTGAGE,22000,6.62
RENT,92407,9.25
MORTGAGE,22000,11.71
MORTGAGE,22000,5.42
RENT,93492,9.45
MORTGAGE,22000,7.49
RENT,94500,
RENT,83000,
RENT,95000,10.99
RENT,95000,
OWN,22000,7.66
RENT,96000,13.04
MORTGAGE,22000,7.14
RENT,85200,15.65
RENT,98000,11.83
OWN,22000,16.0
RENT,99000,15.28
OWN,22000,15.05
OWN,22000,15.05
RENT,99996,14.22
RENT,87996,16.35
OWN,22000,10.96
RENT,100000,13.06
RENT,100000,13.06
OWN,22000,
MORTGAGE,22080,
RENT,74800,14.96
RENT,74800,17.04
RENT,100000,12.21
MORTGAGE,22260,7.88
OWN,22296,5.42
RENT,104000,10.74
RENT,93000,13.22
RENT,95000,14.59
RENT,108000,
RENT,96901,
RENT,110000,12.42
RENT,110000,14.17
RENT,110000,13.72
RENT,110000,10.38
RENT,110000,
MORTGAGE,22800,7.51
MORTGAGE,22800,11.71
MORTGAGE,22800,8.9
RENT,85000,17.39
MORTGAGE,22800,5.79
MORTGAGE,22800,12.61
RENT,120000,10.37
OWN,22800,11.36
RENT,121000,8.9
RENT,125000,11.11
MORTGAGE,22800,8.94
RENT,130000,15.27
RENT,130000,13.11
MORTGAGE,22884,16.0
RENT,133000,12.36
MORTGAGE,23000,7.51
MORTGAGE,23000,8.9
RENT,140000,6.54
RENT,138000,15.99
MORTGAGE,23000,17.27
RENT,148000,17.99
RENT,160000,7.49
MORTGAGE,23000,10.0
RENT,160000,9.99
RENT,168000,11.36
RENT,172500,11.83
MORTGAGE,23000,13.35
RENT,175000,14.72
MORTGAGE,23000,6.76
RENT,58000,11.83
RENT,116000,11.48
RENT,19500,11.41
MORTGAGE,23000,
RENT,19000,12.29
MORTGAGE,23000,14.96
RENT,19000,12.29
RENT,10000,10.37
RENT,10000,14.74
RENT,10140,13.43
MORTGAGE,23000,9.63
OTHER,23000,12.21
RENT,10500,10.25
RENT,11220,12.99
RENT,11760,13.98
RENT,11820,14.65
RENT,12000,10.65
RENT,12000,13.98
RENT,12000,13.57
RENT,12240,14.96
RENT,13728,10.0
RENT,14400,16.29
OWN,23040,11.11
OWN,23040,
RENT,14400,16.69
OWN,23040,8.94
RENT,15000,14.3
RENT,16000,15.65
RENT,16800,11.49
RENT,16800,13.48
RENT,19200,12.53
RENT,39600,10.62
RENT,39900,12.18
RENT,47000,11.99
RENT,50000,10.99
RENT,52000,
MORTGAGE,23500,10.38
RENT,47500,16.7
RENT,54000,
RENT,54000,
RENT,54586,11.14
RENT,62004,7.49
RENT,70000,8.88
RENT,72000,10.99
RENT,73000,10.62
RENT,78000,8.9
MORTGAGE,23920,14.59
OWN,23964,9.91
RENT,96000,13.22
RENT,105000,12.29
RENT,175000,11.48
RENT,50000,
RENT,55000,6.99
RENT,70000,10.38
RENT,36500,6.54
RENT,43000,11.83
OWN,24000,12.42
RENT,34300,10.71
RENT,36000,10.91
RENT,38000,7.66
RENT,55784,13.61
RENT,74196,11.26
RENT,75000,7.49
RENT,73000,7.9
OWN,24000,9.91
MORTGAGE,24000,7.9
RENT,78000,15.33
RENT,145000,12.87
MORTGAGE,24000,7.9
RENT,48888,13.16
RENT,50000,9.99
RENT,120000,8.9
MORTGAGE,24000,14.65
MORTGAGE,24000,13.49
RENT,34000,10.25
RENT,35004,11.49
RENT,34500,17.04
RENT,42504,10.25
MORTGAGE,24000,5.42
RENT,36996,14.61
RENT,45600,13.35
MORTGAGE,24000,5.99
RENT,46000,10.75
RENT,46000,14.26
RENT,55044,17.56
RENT,49200,14.83
RENT,50000,16.7
RENT,50000,10.74
RENT,44000,14.91
RENT,36000,8.88
RENT,36400,9.91
RENT,36000,11.71
RENT,55000,10.99
RENT,27000,11.54
OWN,24000,15.62
RENT,33000,9.91
RENT,36000,9.88
RENT,30720,13.48
RENT,39996,9.25
RENT,40000,13.11
MORTGAGE,24000,10.99
RENT,42000,6.17
MORTGAGE,24000,5.99
OWN,24000,7.49
RENT,42765,11.03
RENT,43000,7.9
RENT,44000,13.57
RENT,44000,12.18
RENT,39000,17.19
RENT,46800,15.23
RENT,48000,
RENT,42000,14.46
OWN,24000,6.99
RENT,43400,16.63
RENT,50000,12.42
RENT,50000,7.9
MORTGAGE,24000,15.99
OWN,24000,10.99
RENT,50000,13.11
RENT,50000,13.79
OWN,24000,10.59
RENT,52000,
OWN,24000,12.68
RENT,52000,12.98
RENT,52000,13.85
RENT,52526,12.21
RENT,46610,10.71
RENT,48000,6.54
OWN,24000,5.79
RENT,55000,12.84
RENT,55344,10.99
MORTGAGE,24000,11.11
RENT,56000,13.48
RENT,50000,14.74
RENT,58000,
RENT,52240,19.69
RENT,53000,17.19
RENT,60000,16.32
RENT,60000,9.33
RENT,61500,13.23
MORTGAGE,24000,7.66
RENT,62000,13.85
MORTGAGE,24000,9.63
OWN,24000,6.92
RENT,63000,9.63
RENT,63000,10.99
RENT,63000,13.57
RENT,65000,
RENT,65000,13.99
RENT,59000,14.96
RENT,65000,
RENT,59000,16.0
RENT,60000,16.29
RENT,66000,10.25
RENT,68000,10.65
RENT,70000,9.88
RENT,54400,16.0
RENT,70200,16.45
RENT,65000,15.33
RENT,71820,11.83
RENT,66000,14.54
RENT,72000,7.88
OWN,24000,13.98
RENT,73500,
MORTGAGE,24000,15.21
RENT,75000,12.73
MORTGAGE,24000,15.58
RENT,75576,9.88
OWN,24000,11.86
RENT,78000,13.49
RENT,80000,7.9
RENT,80000,8.49
RENT,80000,10.99
RENT,80171,13.85
RENT,81000,13.98
MORTGAGE,24000,16.07
RENT,82000,
RENT,76500,10.65
MORTGAGE,24000,15.7
MORTGAGE,24000,13.11
RENT,82570,15.27
MORTGAGE,24000,10.99
RENT,84000,9.88
MORTGAGE,24000,7.14
RENT,85000,11.71
RENT,86000,8.49
RENT,87000,11.89
RENT,88000,13.16
RENT,90000,8.88
RENT,95000,8.49
RENT,95000,15.31
RENT,102000,12.53
RENT,110000,12.18
RENT,87550,7.51
RENT,116004,11.83
RENT,121000,18.3
RENT,125000,14.79
OWN,24000,10.95
RENT,144500,13.72
RENT,155000,10.62
OWN,24000,12.21
RENT,75000,10.91
RENT,130000,
OWN,24000,9.63
RENT,62050,16.35
OWN,24000,12.21
RENT,48000,13.49
RENT,65000,11.49
MORTGAGE,24000,9.76
MORTGAGE,24000,11.34
MORTGAGE,24000,13.87
RENT,45000,8.9
RENT,59256,12.99
RENT,65500,10.74
RENT,70000,10.62
RENT,71480,
MORTGAGE,24000,8.7
MORTGAGE,24091,12.99
RENT,72250,17.19
RENT,32400,15.95
RENT,36000,14.22
RENT,37232,12.53
OWN,24300,11.83
MORTGAGE,24396,15.05
RENT,40800,10.62
OWN,24449,11.89
OWN,24468,10.75
RENT,44000,12.53
RENT,47500,13.61
RENT,49176,13.85
RENT,49270,13.85
RENT,53352,6.54
RENT,54996,17.19
RENT,58000,13.49
RENT,59000,9.25
RENT,60000,6.54
RENT,75000,7.9
MORTGAGE,24900,13.16
RENT,95950,11.71
MORTGAGE,24960,13.99
RENT,40000,9.91
RENT,45408,9.91
MORTGAGE,24996,12.69
RENT,58000,7.51
RENT,82000,11.99
RENT,96000,10.37
RENT,133000,11.71
RENT,95000,17.58
RENT,35000,10.37
RENT,29400,12.99
OWN,24996,15.58
RENT,40000,10.65
RENT,41400,12.87
RENT,42000,7.66
RENT,43275,13.47
RENT,45792,10.38
RENT,47000,9.99
RENT,49896,16.82
RENT,50000,13.79
OWN,24996,
OWN,24996,11.26
RENT,51000,8.49
RENT,45000,14.96
RENT,52000,12.98
OWN,24996,11.34
RENT,52000,11.58
RENT,52500,
RENT,54660,9.88
OWN,25000,
RENT,55782,7.51
RENT,53000,10.25
OWN,25000,14.27
RENT,60000,11.11
RENT,60000,6.91
OWN,25000,15.27
RENT,62000,5.99
RENT,65000,13.47
RENT,70000,8.88
RENT,72000,7.88
RENT,75000,12.53
RENT,75000,9.33
RENT,78000,10.99
MORTGAGE,25000,9.91
RENT,85500,13.11
RENT,89004,9.63
RENT,66300,16.77
RENT,90000,10.59
RENT,95000,11.49
RENT,96000,11.48
RENT,114000,10.37
RENT,175000,9.88
RENT,49000,18.25
RENT,72000,6.54
MORTGAGE,25000,6.99
OWN,25000,8.49
RENT,34819,10.99
RENT,50000,12.53
MORTGAGE,25000,8.49
RENT,55000,
RENT,60000,14.65
RENT,60000,6.54
RENT,60000,13.85
RENT,54000,12.67
MORTGAGE,25000,9.99
RENT,66000,13.49
RENT,58650,16.77
RENT,74000,15.65
RENT,97000,12.42
RENT,97000,6.17
RENT,103000,13.11
RENT,125000,12.42
OWN,25000,14.17
RENT,36000,15.28
RENT,44500,10.75
RENT,45000,12.41
RENT,46272,11.99
MORTGAGE,25000,11.11
RENT,42000,17.58
RENT,50496,13.11
RENT,54000,
RENT,54000,20.11
RENT,54996,10.37
RENT,59160,14.18
RENT,70000,13.92
RENT,98400,15.28
RENT,40428,10.75
RENT,47000,
RENT,47000,10.62
RENT,48000,8.9
OWN,25000,6.76
RENT,56000,12.8
RENT,57504,9.32
MORTGAGE,25000,7.14
OWN,25000,7.88
OWN,25000,6.76
RENT,83300,16.77
RENT,45000,13.49
RENT,61000,10.99
RENT,27600,
RENT,47000,12.42
MORTGAGE,25000,7.51
RENT,54000,10.37
RENT,39000,17.14
RENT,30000,13.23
RENT,33000,10.99
RENT,35000,6.03
MORTGAGE,25000,15.31
RENT,35000,11.71
RENT,35500,
MORTGAGE,25000,13.57
MORTGAGE,25000,
